arterycode,direction,sideofint,centreline_id,artery_type,match_on_case,was_match_on_case
36205,Southbound,S,2216265,2,10,6
36205,Eastbound,W,106683,2,10,6
36205,Westbound,W,106683,2,10,6
36482,Eastbound,E,1138928,2,10,6
36482,Westbound,E,1138928,2,10,6
36482,Northbound,N,1138898,2,10,6
36482,Southbound,N,1138898,2,10,6
36482,Northbound,S,1138941,2,10,6
36482,Southbound,S,1138941,2,10,6
36482,Eastbound,W,1138898,2,10,6
36482,Westbound,W,1138898,2,10,6
36908,Eastbound,E,30074730,2,10,6
36908,Westbound,E,30074730,2,10,6
36908,Northbound,N,14675328,2,10,6
36908,Southbound,N,14675328,2,10,6
36908,Northbound,S,30074506,2,10,6
36908,Southbound,S,30074506,2,10,6
36908,Eastbound,W,14675135,2,10,6
36908,Westbound,W,14675135,2,10,6
38016,Eastbound,E,107158,2,10,6
38016,Northbound,N,3633142,2,10,6
38016,Southbound,N,3633142,2,10,6
38016,Northbound,S,107172,2,10,6
38016,Southbound,S,107172,2,10,6
3944,Northbound,N,8609163,2,10,6
3944,Southbound,N,8609163,2,10,6
3944,Northbound,S,14173565,2,10,6
3944,Southbound,S,14173565,2,10,6
3944,Eastbound,E,14676155,2,10,6
3944,Westbound,E,14676155,2,10,6
5630,Eastbound,E,1143206,2,10,6
5630,Eastbound,W,8416891,2,10,6
5630,Northbound,N,14011752,2,10,6
5630,Westbound,E,1143206,2,10,6
5630,Westbound,W,8416891,2,10,6
5630,Southbound,N,14011752,2,10,6
5630,Northbound,S,1143413,2,10,6
5630,Southbound,S,1143413,2,10,6
38014,Eastbound,W,107376,2,10,6
38014,Northbound,N,3633149,2,10,6
38014,Southbound,N,3633149,2,10,6
38014,Northbound,S,107598,2,10,6
38014,Southbound,S,107598,2,10,6
37197,Eastbound,E,8417318,2,10,6
37197,Northbound,N,20048855,2,10,6
37197,Northbound,S,10386590,2,10,6
37197,Westbound,E,8417318,2,10,6
37197,Southbound,N,20048855,2,10,6
37197,Southbound,S,10386590,2,10,6
5881,Eastbound,E,8594649,2,10,6
5881,Eastbound,W,8608450,2,10,6
5881,Northbound,S,14066945,2,10,6
5881,Westbound,E,8594649,2,10,6
5881,Westbound,W,8608450,2,10,6
5881,Southbound,S,14066945,2,10,6
5881,Northbound,N,14037043,2,10,6
5881,Southbound,N,14037043,2,10,6
6370,Northbound,N,13516267,2,10,6
6370,Southbound,N,13516267,2,10,6
6370,Northbound,S,14021700,2,10,6
6370,Southbound,S,14021700,2,10,6
6370,Eastbound,E,1141702,2,10,6
6370,Westbound,E,1141702,2,10,6
11237,Northbound,S,8307,2,10,6
11237,Southbound,S,8307,2,10,6
11237,Eastbound,E,8540614,2,10,6
11237,Westbound,E,8540614,2,10,6
11237,Eastbound,W,8564418,2,10,6
11237,Westbound,W,8564418,2,10,6
28995,Eastbound,E,10561007,2,10,6
28995,Eastbound,W,4020931,2,10,6
28995,Northbound,S,20259264,2,10,6
28995,Southbound,S,20259264,2,10,6
29005,Northbound,N,440617,2,10,6
29005,Northbound,S,440647,2,10,6
29666,Northbound,N,13975174,2,10,6
29666,Northbound,S,13975173,2,10,6
29666,Eastbound,E,13975209,2,10,6
29666,Westbound,E,13975209,2,10,6
29666,Eastbound,W,13975199,2,10,6
29666,Westbound,W,13975199,2,10,6
31102,Northbound,N,14659533,2,10,6
31102,Southbound,N,14659533,2,10,6
31102,Northbound,S,7103121,2,10,6
31102,Southbound,S,7103121,2,10,6
31102,Eastbound,E,439723,2,10,6
31102,Westbound,E,439723,2,10,6
31102,Eastbound,W,3326996,2,10,6
31102,Westbound,W,3326996,2,10,6
31497,Northbound,N,7792724,2,10,6
31497,Southbound,N,7792724,2,10,6
31497,Northbound,S,7791757,2,10,6
31497,Southbound,S,7791757,2,10,6
31497,Eastbound,E,913243,2,10,6
31497,Westbound,E,913243,2,10,6
31497,Eastbound,W,3189174,2,10,6
31497,Westbound,W,3189174,2,10,6
4771,Northbound,S,906551,2,10,6
4771,Southbound,S,906553,2,10,6
4771,Eastbound,E,14659961,2,10,6
4771,Westbound,E,14659961,2,10,6
4771,Eastbound,W,906531,2,10,6
4771,Westbound,W,906531,2,10,6
4782,Northbound,N,7754370,2,10,6
4782,Southbound,N,7754370,2,10,6
