arterycode,count_type,loc,type,road,road_rank,tot_days
1761,24 HOUR,WESTON RD N/B S OF JOHN ST,Other,,6,346
1762,24 HOUR,WESTON RD S/B N OF JOHN ST,Other,,6,435
1960,PermAutom,YORK MILLS RD E/B W OF LESLIE ST,Other,,6,1584
1961,PermAutom,YORK MILLS RD W/B E OF LESLIE ST,Other,,6,1614
1979,PermAutom,RAMP YORK MILLS RD E/B & W/B TO DON VALLEY PKWY S/B,RESCU,DVP,2,1157
1981,PermAutom,YORK MILLS RD E/B & W/B TO DON VALLEY PKWY N/B,RESCU,DVP,2,1148
2054,PermAutom,BATHURST ST N/B S OF FINCH AVE,Other,,6,3152
2055,PermAutom,BATHURST ST S/B N OF FINCH AVE,Other,,6,1923
2102,PermAutom,BLOOR ST BIKE STN E/B W OF CASTLE FRANK CRES,Other,,6,4959
2103,PermAutom,BLOOR ST BIKE STN W/B W OF CASTLE FRANK CRES,Other,,6,5116
2635,PermAutom,JANE ST S/B S OF WILSON AVE,Other,,6,325
2663,PermAutom,JANE ST S/B S OF SHEPPARD AVE,Other,,6,241
2685,PermAutom,JANE ST N/B N OF WILSON AVE,Other,,6,275
2689,PermAutom,JANE ST N/B N OF SHEPPARD AVE,Other,,6,215
2779,PermAutom,LAKE SHORE BLVD E/B W OF BRITISH COLUMBIA RD,RESCU,Lakeshore,4,4123
2780,PermAutom,LAKE SHORE BLVD W/B E OF BRITISH COLUMBIA RD,RESCU,Lakeshore,4,3543
2783,PermAutom,LAKE SHORE BLVD E/B W OF PARKSIDE DR,RESCU,Lakeshore,4,3421
2784,PermAutom,LAKE SHORE BLVD E/B W OF STRACHAN AVE,RESCU,Lakeshore,4,3871
2785,PermAutom,LAKE SHORE BLVD W/B W OF BAY ST,RESCU,Lakeshore,4,3155
2934,PermAutom,MORNINGSIDE AVE N/B S OF CASEBRIDGE CRT,Other,,6,1277
2951,PermAutom,MORNINGSIDE AVE S/B N OF MILNER AVE,Other,,6,1270
2959,PermAutom,PITFIELD RD E/B W OF BRIMLEY RD,Other,,6,3872
2960,PermAutom,PITFIELD RD W/B E OF BRIMLEY RD,Other,,6,4472
2965,PermAutom,RAMP DON MILLS RD N/B TO DON VALLEY PKWY N/B,RESCU,DVP,2,1881
2966,PermAutom,RAMP DON MILLS RD N/B TO DON VALLEY PKWY S/B,RESCU,DVP,2,1785
2967,PermAutom,RAMP DON MILLS RD S/B TO DON VALLEY PKWY S/B,RESCU,DVP,2,1934
2968,PermAutom,RAMP DON VALLEY PKWY N/B TO DON MILLS RD N/B,RESCU,DVP,2,1807
